1
0 38775
type_num: 1
2
0 38775
type_num: 1
3
0 38775
type_num: 1
4
0 38775
type_num: 1
5
B0 831
C4 795
AC 635
D0 633
C8 628
F0 627
68 622
B8 621
A0 619
3C 616
14 616
30 613
74 613
0C 613
FC 612
8C 611
E0 610
20 609
60 608
98 608
2C 607
78 606
08 606
DC 605
50 604
84 604
D8 604
E4 603
24 602
80 601
18 600
00 599
4C 598
54 598
B4 598
9C 597
BC 597
D4 597
44 596
EC 596
90 594
C0 593
48 591
5C 591
A8 591
40 590
94 590
F8 588
04 588
38 587
F4 586
34 585
A4 585
1C 585
E8 584
28 583
58 583
6C 581
88 581
64 580
70 580
7C 580
10 574
CC 547
type_num: 64
6
10 8043
0F 6095
11 6071
0E 3449
12 3364
13 2319
0D 1863
0C 1101
0B 796
0A 690
09 604
15 566
14 501
00 447
07 431
08 418
17 398
04 329
16 296
06 276
05 233
02 218
03 145
01 122
type_num: 24
7
00 535
45 201
38 192
37 191
A0 190
3C 190
49 190
3B 188
44 187
53 185
4D 185
3D 185
55 181
39 180
AA 180
54 179
95 179
4E 179
A1 178
AB 178
4B 178
81 177
48 177
A2 176
50 176
75 175
40 175
8A 174
A7 174
9D 173
A6 173
34 173
78 173
AD 170
5C 170
93 170
32 170
85 170
88 169
C1 169
2C 169
56 169
3F 168
B4 168
2A 168
43 167
4C 167
67 166
57 165
73 165
74 165
A5 165
36 165
5D 164
31 164
3A 164
52 164
3E 164
1D 164
F4 163
35 163
33 163
28 162
47 162
59 162
2F 162
A4 162
4F 161
61 161
2D 161
9B 161
66 161
A9 161
42 160
70 160
62 160
41 159
7E 159
19 159
02 159
A3 158
09 158
FB 158
5E 157
64 157
7A 157
8D 157
5A 157
79 157
83 157
18 157
68 157
9E 157
99 156
C7 156
6F 156
14 156
89 156
BF 156
AE 156
2E 155
80 155
90 154
92 154
7C 154
B3 154
B2 154
7F 154
E2 153
DA 153
BE 153
51 153
1B 152
30 152
6E 152
CE 152
B9 152
84 151
8B 151
0A 150
72 150
C5 150
24 150
AC 149
F2 149
2B 149
77 149
22 149
D7 148
26 148
C3 148
9A 148
C4 148
E5 147
6C 147
05 147
25 147
8C 147
F8 146
C6 146
71 146
96 146
9C 146
BB 146
DE 146
94 146
82 146
46 146
AF 146
0E 145
5F 145
DD 144
04 144
B0 144
08 144
D5 144
ED 143
E8 143
E9 143
01 143
D2 143
10 143
91 143
CA 142
EE 142
CC 142
E0 142
27 142
6A 142
B5 141
69 141
A8 140
7B 140
8F 140
87 140
D8 140
8E 139
12 139
6B 139
4A 139
E4 139
98 139
CF 139
9F 138
86 138
13 138
23 138
F9 137
CD 137
DF 137
0D 136
20 136
15 136
F5 136
F3 135
BC 135
D9 135
FF 135
FE 134
21 134
6D 134
B7 134
B8 133
D0 133
58 133
16 132
BA 132
C0 132
0C 132
1A 132
F6 132
C2 131
E7 131
1E 131
60 131
F1 131
FD 131
0B 130
