1
0 26371
20 12405
type_num: 2
2
0 38776
type_num: 1
3
0 38776
type_num: 1
4
0 38776
type_num: 1
5
0 38776
type_num: 1
6
00 27864
01 3025
09 1151
03 769
07 636
0D 591
0B 543
02 436
0F 433
05 319
11 229
19 229
15 184
0A 168
08 156
17 154
21 110
2B 106
13 102
1B 102
0C 97
06 92
10 86
0E 83
04 71
25 71
29 56
1F 54
20 53
18 48
2D 48
1D 47
12 35
23 34
2F 31
27 30
31 29
3D 29
3F 28
1A 26
33 26
1C 25
22 25
2C 22
16 21
35 20
41 20
3B 19
14 19
2A 17
24 15
2E 15
39 14
28 13
32 12
45 12
1E 11
34 11
43 11
4B 11
26 10
30 9
37 9
4D 8
49 8
40 7
3C 6
44 4
3A 4
3E 4
47 3
4C 3
36 3
48 1
4A 1
42 1
38 1
type_num: 77
7
0 38776
type_num: 1
8
8 38776
type_num: 1

