1
00 18667
08 4234
09 3427
06 2777
07 2367
05 2314
0A 1920
04 1440
0B 1116
0C 646
10 220
0D 211
01 158
03 150
12 149
0F 139
0E 120
02 101
11 87
13 76
type_num: 20
2
00 18588
92 244
01 200
FE 190
02 177
05 174
FD 170
FB 159
04 145
F7 143
FF 138
09 135
FA 131
4A 130
03 129
0C 127
B8 125
F5 125
08 122
E8 121
F9 121
C1 120
B0 119
FC 118
BD 116
16 115
ED 113
E7 112
07 112
B9 111
AE 111
EB 110
B4 110
14 109
3D 109
34 109
F3 108
0A 108
94 108
E0 107
C6 107
11 107
A7 106
AA 106
5B 106
0F 105
DE 105
AF 105
06 105
EE 104
13 103
C9 102
9C 102
0D 102
97 101
2F 100
A3 100
B5 99
3A 99
C5 98
BF 98
10 98
A0 97
D0 97
3B 97
3C 96
39 96
8E 96
AB 95
90 95
79 94
B2 94
C7 94
E3 93
82 93
EF 92
0B 92
50 92
AC 92
E5 92
DC 91
B3 90
EA 90
D9 90
C0 90
26 90
1E 90
E6 90
49 90
DB 89
CA 89
F1 89
36 89
A2 89
1B 88
DA 88
DF 87
5A 87
9D 87
5E 87
0E 86
51 86
25 86
4D 85
C4 85
E9 85
87 85
44 85
63 85
CB 84
1C 84
D3 83
4E 83
BA 83
8A 82
37 82
A1 81
A8 81
46 81
72 80
41 80
E2 80
CE 80
40 80
D8 80
1A 80
47 80
75 80
B1 80
C8 79
48 79
84 79
A5 78
BC 78
8B 78
7D 78
5D 78
2C 78
22 78
4F 77
70 77
D1 77
F0 77
9B 77
91 77
93 77
53 77
28 77
55 77
9E 76
F8 76
F6 76
74 76
B6 76
BE 75
60 75
99 75
61 75
6E 74
98 74
54 74
43 74
18 74
66 74
DD 74
8D 74
33 73
67 73
8F 73
4B 73
C2 72
D6 72
27 72
69 72
3E 72
30 72
35 72
E4 71
6A 71
6C 71
17 71
68 70
7F 70
D2 70
80 70
A6 70
83 70
56 70
57 70
32 70
BB 70
E1 69
6F 69
78 69
D4 69
F2 69
45 69
A9 69
42 69
19 68
EC 68
B7 68
1F 68
88 67
95 67
15 67
85 67
89 67
2B 67
D7 66
2D 66
64 66
AD 65
C3 65
21 64
52 64
CC 63
4C 63
7E 63
12 63
7B 63
9A 62
31 62
6B 62
77 62
6D 61
23 60
2E 59
9F 59
1D 59
38 59
2A 59
D5 58
62 58
CF 58
5C 58
29 58
58 57
20 57
86 56
A4 56
24 55
76 54
73 53
F4 53
3F 52
81 51
65 50
CD 49
7A 47
8C 45
96 41
7C 39
71 36
59 35
5F 31
type_num: 256
3
0 40319
type_num: 1
4
0 40319
type_num: 1
5
0 40319
type_num: 1
6
0 40319
type_num: 1
7
0 40319
type_num: 1
8
CD 18556
5F 225
D2 202
D3 195
CF 170
D4 157
E1 155
CE 155
D0 151
D7 147
CB 142
CC 141
8F 128
D6 125
DA 124
B5 123
D8 123
BD 120
D5 120
DF 118
84 118
C5 117
DD 116
C7 115
DB 115
E7 114
D9 113
9F 112
CA 112
7F 111
E3 110
77 109
87 109
8A 109
9A 109
82 108
7B 106
1F 106
F1 105
C9 105
9C 104
90 104
0D 103
88 103
EB 102
0B 102
5E 102
FD 101
DC 101
E4 100
86 100
85 100
C1 100
BC 99
3D 99
B2 99
65 99
97 99
C2 99
BF 99
30 98
1E 98
8D 96
6A 96
E9 96
70 96
E8 96
10 96
F5 95
BA 95
AE 95
72 95
BE 94
7D 94
28 94
74 93
B3 93
6E 93
E5 92
B8 92
A0 92
8E 92
61 92
C0 91
81 91
68 90
B9 90
25 89
9B 89
76 89
24 89
11 89
02 89
1C 89
09 88
94 88
C4 88
C3 88
B0 88
DE 88
5A 88
0A 88
13 87
AF 87
4D 87
53 87
92 87
56 87
A5 86
9D 86
1A 86
6D 85
12 85
B1 85
AC 85
A3 85
07 85
E0 84
05 84
8C 84
EE 84
06 84
0F 84
14 84
0E 83
AD 83
66 83
0C 83
F9 83
96 81
95 81
7C 81
80 81
4A 81
78 81
17 81
EA 80
22 80
F3 79
46 79
64 79
69 79
C8 79
20 79
93 79
33 79
2A 78
A9 78
49 78
3F 77
F6 77
B4 77
26 77
73 77
A8 77
FF 77
36 77
04 76
E6 76
40 76
1D 76
38 76
A7 75
E2 75
3E 75
63 75
59 74
03 74
A4 74
83 74
91 74
48 74
6B 74
BB 74
FC 74
3A 73
54 73
79 73
6F 73
ED 73
D1 73
8B 73
37 73
00 73
34 72
B6 72
15 72
21 71
55 71
58 71
2B 71
F8 71
7E 71
5C 70
FA 70
71 70
19 70
98 69
44 69
23 69
27 69
1B 69
B7 68
45 68
60 67
4E 67
39 67
F0 67
16 66
31 66
89 66
AB 66
7A 65
A6 65
43 65
4F 64
2D 64
2C 63
32 63
A1 63
01 62
2E 62
18 61
4B 61
41 61
6C 61
57 60
9E 59
EF 59
5D 58
EC 58
62 57
08 57
A2 56
F2 56
35 56
2F 55
99 54
52 54
75 53
67 53
50 50
29 50
42 49
AA 49
4C 49
C6 48
47 47
51 47
FB 46
F4 46
3B 44
3C 44
5B 43
FE 40
F7 29
type_num: 256

