024 1111
025 1110
020 1101
320 110011
442 110010111
6E2 110010110111
612 1100101101101
614 1100101101100
383 11001011010
4C1 1100101100
4C3 1100101011
4C6 1100101010
3B6 1100101001
380 1100101000
3A1 1100100111
4C8 1100100110
3BB 1100100101
39B 1100100100
611 1100100011
680 1100100010
622 1100100001
624 1100100000
621 1100011111
638 1100011110
63C 1100011101
623 1100011100
4DC 1100011011
3B0 1100011010
4AE 110001100
49A 110001011
4A7 110001010
4AF 110001001
610 110001000
49B 110000111
49D 110000110
49C 110000101
4A8 110000100
498 110000011
4AD 110000010
3F9 11000000
127 1011
353 10101111
499 101011101
63D 1010111001
38B 1010111000
4AC 101011011
635 1010110101
421 1010110100
3B1 1010110011
630 1010110010
640 1010110001
632 1010110000
633 1010101111
626 1010101110
423 1010101101
4DD 1010101100
4A1 101010101
4A0 101010100
4A2 101010011
420 1010100101
3BC 1010100100
399 1010100011
3B9 1010100010
3D3 101010000
361 101001
6C0 10100011
394 10100010
620 10100001
3B7 10100000
260 1001
1C4 1000
245 0111
247 0110
38A 0101111111
382 010111111011
381 010111111010
6E1 01011111100
4A6 010111110
440 01011110
44D 01011101
45C 01011100
3A0 010110
2A4 01010
230 0100
0AA 001
224 0001
0B4 0000
