498,C1,00,00,13,4D,C2,00,00
498,C1,00,00,14,4D,C2,00,00
498,C1,00,00,14,4D,C2,00,00
498,C1,00,00,15,4D,C2,00,00
498,C1,00,00,16,4D,C2,00,00
498,C1,00,00,17,4D,C2,00,00
498,C1,00,00,18,4D,C2,00,00
498,C1,00,00,18,4D,C2,00,00
498,C1,00,00,1A,4D,C2,00,00
498,C1,00,00,1A,4D,C2,00,00
498,C1,00,00,1C,4D,C2,00,00
498,C1,00,00,1C,4D,C2,00,00
498,C1,00,00,1D,4D,C2,00,00
498,C1,00,00,1E,4D,C2,00,00
498,C1,00,00,1F,4D,C2,00,00
498,C1,00,00,1F,4D,C2,00,00
498,C1,00,00,20,4D,C2,00,00
498,C1,00,00,21,4D,C2,00,00
498,C1,00,00,22,4D,C2,00,00
498,C1,00,00,22,4D,C2,00,00
498,C1,00,00,23,4D,C2,00,00
498,C1,00,00,24,4D,C2,00,00
498,C1,00,00,24,4D,C2,00,00
498,C1,00,00,25,4D,C2,00,00
498,C1,00,00,26,4D,C2,00,00
498,C1,00,00,26,4D,C2,00,00
498,C1,00,00,28,4D,C2,00,00
498,C1,00,00,28,4D,C2,00,00
498,C1,00,00,29,4D,C2,00,00
498,C1,00,00,29,4D,C2,00,00
498,C1,00,00,29,4D,C2,00,00
498,C1,00,00,29,4D,C2,00,00
498,C1,00,00,28,4D,C2,00,00
498,C1,00,00,28,4D,C2,00,00
498,C1,00,00,28,4D,C2,00,00
498,C1,00,00,28,4D,C2,00,00
498,C1,00,00,27,4D,C2,00,00
498,C1,00,00,27,4D,C2,00,00
498,C1,00,00,27,4D,C2,00,00
498,C1,00,00,27,4D,C2,00,00
498,C1,00,00,26,4D,C2,00,00
498,C1,00,00,26,4D,C2,00,00
498,C1,00,00,26,4D,C2,00,00
498,C1,00,00,27,4D,C2,00,00
498,C1,00,00,27,4D,C2,00,00
498,C1,00,00,26,4D,C2,00,00
498,C1,00,00,25,4D,C2,00,00
