4A0,06,B7,00,0F,0F,0F,0F,00
4A0,06,B8,00,0F,0F,0F,10,00
4A0,06,B8,00,10,10,10,10,00
4A0,06,B8,00,11,11,11,11,00
4A0,06,B8,00,12,11,11,12,00
4A0,06,B8,00,12,12,12,12,00
4A0,06,B8,00,13,13,13,13,00
4A0,06,B8,00,14,13,13,14,00
4A0,06,B8,00,14,14,14,14,00
4A0,06,B8,00,15,15,15,15,00
4A0,06,B8,00,15,15,15,16,00
4A0,06,B8,00,16,16,16,16,00
4A0,06,B8,00,17,16,17,17,00
4A0,06,B8,00,17,17,17,17,00
4A0,06,B8,00,18,18,18,18,00
4A0,06,B8,00,19,18,19,18,00
4A0,06,B8,00,19,19,19,19,00
4A0,06,B8,00,1A,19,1A,19,00
4A0,06,B8,00,1B,1A,1B,1A,00
4A0,06,B7,00,1B,1A,1B,1B,00
4A0,06,B6,00,1C,1B,1C,1B,00
4A0,06,B4,00,1C,1B,1C,1C,00
4A0,06,B2,00,1D,1C,1D,1C,00
4A0,06,B0,00,1E,1D,1D,1D,00
4A0,06,AF,00,1E,1D,1E,1D,00
4A0,06,AE,00,1E,1E,1E,1E,00
4A0,06,AE,00,1F,1E,1F,1F,00
4A0,06,AE,00,20,1F,1F,1F,00
4A0,06,AE,00,20,20,20,20,00
4A0,06,AD,00,20,20,20,20,00
4A0,06,AD,00,1F,20,20,20,00
4A0,06,AD,00,1F,1F,1F,1F,00
4A0,06,AD,00,1F,1F,1F,1F,00
4A0,06,AD,00,1E,1F,1F,1F,00
4A0,06,AD,00,1E,1F,1E,1F,00
4A0,06,AD,00,1E,1E,1E,1E,00
4A0,06,AE,00,1E,1E,1E,1E,00
4A0,06,B0,00,1D,1E,1D,1E,00
4A0,06,B2,00,1D,1E,1D,1E,00
4A0,06,B4,00,1D,1E,1D,1E,00
4A0,06,B6,00,1D,1E,1D,1E,00
4A0,06,B6,00,1D,1D,1D,1E,00
4A0,06,B7,00,1D,1E,1D,1E,00
4A0,06,B7,00,1D,1E,1D,1E,00
4A0,06,B7,00,1D,1E,1D,1E,00
4A0,06,B8,00,1C,1D,1D,1D,00
4A0,06,B8,00,1B,1C,1C,1C,00
4A0,06,B8,00,1A,1A,1A,1B,00
4A0,06,B8,00,19,19,19,19,00
4A0,06,B8,00,17,17,17,17,00
4A0,06,B8,00,16,16,16,16,00
4A0,06,B8,00,15,14,15,14,00
4A0,06,B8,00,14,13,14,13,00
4A0,06,B8,00,14,13,13,12,00
4A0,06,B8,00,13,12,13,12,00
4A0,06,B7,00,13,11,13,11,00
4A0,06,B7,00,13,12,13,11,00
4A0,06,B8,00,13,12,13,12,00
4A0,06,B8,00,14,12,14,12,00
4A0,06,B8,00,14,13,14,13,00
4A0,06,B8,00,15,14,15,14,00
4A0,06,B8,00,16,15,15,15,00
4A0,06,B8,00,16,16,16,16,00
4A0,06,B7,00,16,16,16,16,00
4A0,06,B8,00,17,17,17,17,00
4A0,06,B8,00,17,17,17,17,00
4A0,06,B8,00,17,18,17,18,00
4A0,06,B8,00,18,18,18,18,00
4A0,06,B8,00,18,18,18,18,00
4A0,06,B8,00,18,18,18,19,00
4A0,06,B8,00,19,19,19,19,00
4A0,06,B8,00,19,19,19,19,00
4A0,06,B8,00,1A,1A,1A,19,00
4A0,06,B8,00,1A,1A,1A,1A,00
4A0,06,B8,00,1A,1A,1A,1A,00
4A0,06,B8,00,1A,1A,1A,1A,00
4A0,06,B8,00,1A,1B,1A,1B,00
4A0,06,B8,00,1B,1A,1A,1B,00
4A0,06,B8,00,1B,1B,1A,1B,00
4A0,06,B8,00,1B,1B,1B,1B,00
4A0,06,B8,00,1B,1B,1B,1B,00
4A0,06,B8,00,1B,1B,1B,1B,00
4A0,06,B8,00,1B,1B,1B,1B,00
4A0,06,B8,00,1C,1C,1C,1C,00
4A0,06,B8,00,1C,1C,1C,1C,00
4A0,06,B8,00,1C,1C,1C,1C,00
4A0,06,B8,00,1D,1D,1C,1D,00
4A0,06,B8,00,1D,1D,1D,1D,00
4A0,06,B8,00,1D,1D,1D,1D,00
