49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
49C,40,0E,0B,C2,00,50,2D,00
