4AE,1C,8C,24,C0,01,50,7A,49
4AE,1C,8C,28,C0,01,58,7A,49
4AE,1C,8C,22,C0,01,50,82,49
4AE,1E,8D,20,C0,01,48,82,49
4AE,1C,8D,20,C0,01,48,82,49
4AE,1C,8D,24,C0,01,50,82,49
4AE,1C,8D,22,C0,01,48,82,49
4AE,1A,8D,24,C0,01,50,82,49
4AE,1C,8D,24,C0,01,50,82,49
4AE,1A,8D,22,C0,01,50,82,49
4AE,18,8D,26,C0,01,50,82,49
4AE,18,8D,24,C0,01,50,82,49
4AE,18,8D,24,C0,01,50,82,49
4AE,16,90,22,C0,01,50,72,49
4AE,12,93,24,C0,01,50,4A,49
4AE,16,93,20,C0,01,50,4A,49
4AE,16,93,20,C0,01,50,4A,49
4AE,14,93,20,C0,01,50,4A,49
4AE,10,93,26,C0,01,50,4A,49
4AE,0C,92,20,C0,01,50,52,49
4AE,0A,91,20,C0,01,50,4A,49
4AE,0A,91,20,C0,01,50,4A,49
4AE,08,91,20,C0,01,50,4A,49
4AE,0A,91,20,C0,01,50,4A,49
4AE,0C,91,20,C0,01,50,4A,49
4AE,0A,91,20,C0,01,50,4A,49
4AE,0C,91,20,C0,01,50,4A,49
4AE,0C,91,20,C0,01,50,4A,49
4AE,0E,92,20,C0,01,50,4A,49
4AE,10,92,22,C0,01,50,4A,49
4AE,12,93,1E,C0,01,48,5A,49
4AE,14,93,20,C0,01,50,52,49
4AE,16,93,22,C0,01,50,4A,49
4AE,14,93,20,C0,01,50,52,49
4AE,14,93,22,C0,01,50,52,49
4AE,14,93,20,C0,01,50,52,49
4AE,24,93,12,C0,01,30,7A,49
4AE,26,91,1F,00,01,40,82,49
4AE,26,91,27,00,01,48,82,49
4AE,26,91,25,00,01,48,82,4A
4AE,26,91,23,00,01,48,8A,4A
4AE,26,92,25,00,01,48,82,4A
4AE,26,92,23,00,01,48,82,4A
4AE,26,92,25,00,01,48,82,4A
4AE,28,92,27,00,01,50,82,4A
4AE,22,92,27,00,01,50,7A,4A
4AE,04,8C,21,00,01,70,62,4A
4AE,10,93,20,C0,01,70,42,4A
4AE,02,90,06,C0,01,50,52,4A
