49D,64,64,FE,CB,91,06,27,19
49D,64,64,FE,4B,91,06,27,19
49D,64,64,FE,4B,91,06,27,19
49D,64,64,FD,CB,91,06,27,19
49D,64,64,FD,CB,91,06,27,19
49D,64,64,FD,4B,91,06,27,19
49D,64,64,FD,CB,91,06,27,19
49D,64,64,FC,CB,91,06,27,19
49D,64,64,FC,CB,91,06,27,19
49D,65,64,FC,4B,91,06,27,19
49D,65,64,FB,CB,91,06,27,1A
49D,65,64,FB,CB,91,06,27,19
49D,65,65,FB,4B,91,06,27,1A
49D,65,65,FA,CB,91,06,27,1A
49D,65,65,FA,CB,91,06,27,1A
49D,65,65,FA,4B,91,06,27,1A
49D,65,65,F5,4B,91,06,27,1A
49D,65,65,F9,CB,91,06,27,1A
49D,65,65,F9,4B,91,06,27,1A
49D,66,65,F9,4B,91,06,27,1A
49D,66,65,F7,CB,91,06,27,1A
49D,66,66,F7,CB,91,06,27,1A
49D,66,66,F7,CB,91,06,27,1A
49D,66,66,F7,CB,91,06,27,1A
49D,66,66,F7,4B,91,06,27,1A
49D,66,66,F7,4B,91,06,27,1A
49D,66,66,F7,4B,91,06,27,1A
49D,66,66,F7,4B,91,06,27,1A
49D,66,66,F7,CB,91,06,27,1A
49D,67,66,ED,4B,91,06,27,1A
49D,6C,6B,D6,4B,91,06,27,1A
49D,6D,6C,D0,4B,91,06,27,1A
49D,6D,6D,D4,4B,91,06,27,1A
49D,6D,6D,DB,CB,91,06,27,5A
49D,6D,6C,DA,4B,91,06,37,5A
49D,6D,6D,D8,CB,91,06,37,5A
49D,6D,6D,DB,CB,91,06,37,5A
49D,6D,6C,DF,CB,91,06,37,5A
49D,6C,6C,E2,CB,91,06,37,5A
49D,6C,6C,E2,4B,91,06,37,5A
49D,6C,6C,E2,4B,91,06,37,5A
49D,6C,6C,E6,CB,91,06,37,5A
49D,6B,6A,F0,4B,91,06,37,5A
49D,6A,69,F8,CB,91,06,37,5A
49D,69,68,F6,4B,91,06,37,5A
49D,6C,6B,E5,4B,91,06,37,5A
49D,6C,6C,DB,CB,91,06,37,5A
49D,70,6E,CF,CB,91,06,37,5A
49D,70,6F,CC,CB,91,06,37,9A
49D,71,70,CF,4B,91,06,47,9A
49D,71,70,D3,CB,91,06,47,9A
49D,70,6F,D9,CB,91,06,47,9A
49D,6F,6E,DF,CB,91,06,47,9A
49D,6E,6E,E4,CB,91,06,47,99
49D,6A,69,FD,CB,91,06,47,99
49D,69,69,01,CB,91,06,47,9A
49D,67,67,0D,CB,91,06,47,99
49D,64,63,1F,CB,91,06,47,99
49D,62,62,20,CB,91,06,47,99
49D,66,66,00,4B,91,06,47,9A
49D,69,68,F8,CB,91,06,47,9A
49D,6B,6A,EC,4B,91,06,47,9A
49D,6B,6B,EC,4B,91,06,47,9A
49D,6C,6C,E6,4B,91,06,47,9B
49D,6B,6A,F0,CB,91,06,47,9B
49D,6A,6A,EF,4B,91,06,47,9A
49D,6C,6B,EA,4B,91,06,47,9A
49D,6C,6C,EA,CB,91,06,47,9A
49D,6C,6B,EC,4B,91,06,47,9A
49D,6C,6B,ED,4B,91,06,47,9A
49D,6C,6B,ED,4B,91,06,47,9B
49D,6C,6C,EC,4B,91,06,47,9A
49D,6C,6B,ED,CB,91,06,47,9B
49D,6C,6C,EE,4B,91,06,47,9B
49D,6C,6B,EB,CB,91,06,47,9A
49D,6D,6C,EA,CB,91,06,47,9B
49D,6D,6C,EA,CB,91,06,47,DB
49D,6C,6C,ED,CB,91,06,47,DB
49D,6C,6C,EC,4B,91,06,47,DA
49D,6D,6C,ED,CB,91,06,57,DB
49D,6C,6C,ED,CB,91,06,57,DB
49D,6C,6C,EF,CB,91,06,57,DB
49D,6C,6C,EF,4B,91,06,57,DB
49D,6C,6C,F0,4B,91,06,57,DB
49D,6C,6C,EF,CB,91,06,57,DB
49D,6C,6C,F0,4B,91,06,57,DB
49D,6C,6C,EE,CB,91,06,57,DB
49D,6C,6C,ED,CB,91,06,57,DB
49D,6D,6C,EC,CB,91,06,57,DB
49D,6D,6C,ED,CB,91,06,57,DB
49D,6D,6D,EB,CB,91,06,57,DB
49D,6F,6F,DF,4B,91,06,57,DC
49D,6C,6B,F8,4B,91,06,57,DA
49D,6A,69,02,CB,91,06,57,DA
49D,6B,6A,FA,CB,91,06,57,DA
49D,6B,6A,FA,CB,91,06,57,DA
49D,6B,6A,F9,CB,91,06,57,DA
49D,6B,6A,FA,4B,91,06,57,DA
49D,6A,6A,FA,4B,91,06,57,DA
49D,6A,6A,FA,4B,91,06,57,DA
49D,6A,6A,FB,4B,91,06,57,DA
49D,6A,6A,FA,CB,91,06,57,DA
49D,6A,6A,FB,4B,91,06,57,DA
49D,6B,6B,EF,4B,91,06,57,DA
49D,6F,6E,DC,4B,91,06,57,DA
49D,70,6F,DE,4B,91,06,57,D9
49D,6E,6E,E6,4B,91,06,58,19
49D,6E,6D,ED,4B,91,06,58,19
49D,6B,6A,00,4B,91,06,58,19
49D,6B,6A,FF,4B,91,06,58,19
49D,6A,6A,FF,4B,91,06,58,19
49D,69,69,08,4B,91,06,58,19
49D,66,64,30,4B,91,06,58,19
49D,64,64,20,CB,91,06,57,D9
49D,69,68,F1,CB,91,06,57,D9
49D,6B,6A,06,CB,91,06,57,DA
49D,6B,6A,F3,CB,91,06,57,DA
49D,6C,6B,F6,4B,91,06,58,1A
49D,6B,6B,F0,CB,91,06,58,1B
49D,6C,6B,F3,4B,91,06,58,1B
49D,6B,6B,EF,CB,91,06,58,1B
49D,6D,6C,EE,4B,91,06,58,1C
49D,6D,6C,EE,4B,91,06,68,1C
49D,6C,6C,EE,CB,91,06,68,1C
49D,6D,6C,EF,4B,91,06,68,1C
49D,6E,6D,E7,CB,91,06,68,1C
49D,6C,6C,F7,4B,91,06,68,1C
49D,6A,6A,FF,4B,91,06,68,1C
49D,6B,6A,FE,4B,91,06,68,1C
49D,6B,6A,F9,CB,91,06,68,1C
49D,6B,6A,FB,4B,91,06,68,1C
49D,6B,6A,F7,4B,91,06,68,1C
49D,6B,6A,F8,CB,91,06,68,1D
49D,6B,6B,F6,CB,91,06,68,1D
49D,6B,6B,F4,4B,91,06,68,1D
49D,6C,6B,FA,4B,91,06,68,1D
49D,6B,6B,FA,4B,91,06,68,1D
49D,6B,6B,FA,4B,91,06,68,1D
49D,6B,6B,F4,CB,91,06,68,1D
49D,6B,6B,F9,4B,91,06,68,1D
49D,6B,6B,F8,CB,91,06,68,1D
49D,6B,6B,F7,CB,91,06,68,1D
49D,6C,6B,F5,CB,91,06,68,1D
49D,6D,6C,F8,4B,91,06,68,1D
49D,6B,6A,F6,4B,91,06,68,1D
49D,6C,6C,F4,4B,91,06,68,1C
49D,6C,6C,F4,4B,91,06,68,1C
49D,6C,6C,F3,CB,91,06,68,1D
49D,6C,6C,F4,4B,91,06,68,1C
49D,6C,6C,F4,CB,91,06,68,1C
49D,6C,6C,F5,4B,91,06,68,1C
49D,6C,6B,F5,CB,91,06,68,1C
49D,6C,6C,F6,CB,91,06,68,1C
49D,6B,6B,F9,CB,91,06,68,1C
49D,6B,6B,FF,CB,91,06,68,1C
49D,6B,6A,FB,4B,91,06,68,1C
49D,6B,6B,F8,CB,91,06,68,1C
49D,6B,6B,FA,4B,91,06,68,1C
49D,6B,6B,F9,CB,91,06,68,1C
49D,6B,6B,FA,4B,91,06,68,1D
49D,68,66,1F,4B,91,06,68,1C
49D,69,67,15,4B,91,06,68,1C
49D,6A,69,FB,4B,91,06,68,1D
49D,6B,6A,FA,4B,91,06,68,1E
49D,6A,69,00,4B,91,06,68,1E
49D,6A,69,FE,CB,91,06,68,1F
49D,6B,6A,FD,4B,91,06,68,1F
49D,6A,69,FC,CB,91,06,68,1F
49D,6A,6A,FA,4B,91,06,68,20
49D,6C,6B,F2,4B,91,06,68,20
49D,73,73,C1,CB,91,06,68,60
49D,75,74,C2,4B,91,06,78,5F
49D,70,6E,F9,4B,91,06,78,5E
49D,6B,6B,00,4B,91,06,78,5C
49D,6B,6A,02,4B,91,06,78,5C
49D,6A,69,07,CB,91,06,78,5B
49D,69,68,10,CB,91,06,78,5B
49D,67,66,15,CB,91,06,78,5B
49D,66,65,1E,4B,91,06,68,5B
49D,63,63,11,4B,91,06,68,5A
49D,67,66,04,4B,91,06,68,5B
49D,6A,69,F9,4B,91,06,68,5B
49D,6B,6A,F6,CB,91,06,68,5C
49D,6B,6A,F7,CB,91,06,68,5C
49D,6B,6B,F6,4B,91,06,68,5C
49D,6B,6B,F6,4B,91,06,68,5C
49D,6B,6B,F6,CB,91,06,68,5C
49D,6B,6A,F9,4B,91,06,68,5C
49D,6B,6B,F8,CB,91,06,78,5C
49D,6B,6A,F9,4B,91,06,78,5C
49D,6B,6A,FA,CB,91,06,78,5C
49D,6A,69,02,4B,91,06,78,5C
49D,6B,6A,FB,CB,91,06,78,5C
49D,6B,6A,FB,4B,91,06,78,5C
49D,6A,6A,FC,4B,91,06,78,5C
49D,6B,6A,FA,CB,91,06,78,5C
49D,6B,6A,FE,CB,91,06,78,5C
49D,6B,6A,F5,CB,91,06,78,5C
49D,6B,6A,FD,CB,91,06,78,5C
49D,6A,69,00,4B,91,06,78,5C
49D,6A,69,04,CB,91,06,78,5C
49D,6A,69,FC,4B,91,06,78,5C
49D,6A,69,02,CB,91,06,78,5C
49D,71,70,D0,4B,91,06,78,5D
49D,6E,6E,ED,CB,91,06,78,5B
49D,6C,6B,F8,4B,91,06,78,5A
49D,6B,6B,F9,CB,91,06,78,5A
49D,6A,69,04,CB,91,06,78,5A
49D,69,69,01,CB,91,06,78,5A
49D,6B,6A,02,CB,91,06,78,5A
49D,65,64,2B,CB,91,06,78,5A
49D,66,65,11,4B,91,06,78,5B
49D,68,67,04,4B,91,06,78,5B
49D,69,69,00,4B,91,06,78,5B
49D,69,69,FF,CB,91,06,78,5C
49D,69,69,FF,CB,91,06,78,5C
49D,6A,69,FE,CB,91,06,78,5C
49D,69,69,01,4B,91,06,78,5C
49D,69,69,FF,CB,91,06,78,5C
49D,6A,69,FF,4B,91,06,78,5C
49D,68,68,05,4B,91,06,78,5D
49D,6A,69,00,4B,91,06,78,5D
49D,68,68,01,4B,91,06,78,5D
49D,69,69,01,CB,91,06,78,5D
49D,6A,69,FB,4B,91,06,78,5D
49D,69,68,05,4B,91,06,78,5D
49D,6A,69,FB,4B,91,06,78,5E
49D,69,68,00,CB,91,06,78,5D
49D,69,69,F1,CB,91,06,78,5D
49D,6A,69,FC,CB,91,06,78,5D
49D,6B,6B,F3,CB,91,06,78,5E
49D,6B,6B,F6,4B,91,06,78,5D
49D,6C,6C,ED,CB,91,06,78,5C
49D,6D,6C,EE,CB,91,06,78,5C
49D,6D,6C,EC,CB,91,06,78,5C
49D,6B,6B,F9,CB,91,06,78,5C
