49C,64,14,11,194,0,80,45,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,86,0,79,0,11
49C,0,37,35,82,0,56,10,17
49C,0,26,6,14,1,13,0,63
49C,0,6,26,12,135,5,0,8
49C,0,1,7,5,13,31,0,29
49C,0,3,1,124,5,1,2,31
49C,0,4,28,5,1,1,0,5
49C,0,1,3,0,0,0,0,3
49C,0,1,3,2,0,0,3,2
49C,0,1,0,13,30,1,0,1
49C,0,26,6,2,0,31,0,15
49C,0,12,11,119,1,2,0,6
49C,0,1,7,3,0,0,0,0
49C,0,0,0,126,0,0,0,7
49C,0,15,1,0,0,1,0,0
49C,0,15,1,1,0,1,0,0
49C,0,2,6,124,0,7,0,7
49C,0,6,2,10,31,3,0,0
49C,0,2,62,2,31,15,0,2
49C,0,1,3,0,0,1,0,62
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,3,0,0,3,0
49C,0,0,0,3,0,0,0,0
49C,0,1,3,0,0,1,0,63
49C,0,3,1,0,0,0,0,1
49C,0,6,62,13,0,14,0,2
49C,0,1,3,0,0,0,0,7
49C,0,3,1,1,0,3,0,1
49C,0,0,7,3,0,1,0,3
49C,0,1,0,0,0,0,0,0
49C,0,1,7,0,0,1,0,3
49C,0,0,0,3,0,0,0,0
49C,0,7,61,0,0,13,0,7
49C,0,38,25,3,144,55,15,46
49C,0,0,0,0,0,24,0,15
49C,0,0,0,119,0,88,1,1
49C,0,10,13,0,0,0,0,2
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,1,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,0,41,0,71,0,11
49C,0,38,34,83,0,49,12,16
49C,0,5,3,14,3,15,0,57
49C,0,23,29,0,132,6,0,19
49C,0,5,15,5,12,30,3,6
49C,0,2,2,3,5,3,0,13
49C,0,1,7,127,1,1,0,7
49C,0,127,1,127,0,7,0,125
49C,0,2,2,2,30,0,0,3
49C,0,127,4,0,2,0,0,7
49C,0,124,4,3,0,0,0,1
49C,0,0,0,0,7,1,0,3
49C,0,1,1,3,1,0,0,1
49C,0,123,6,2,0,6,0,7
49C,0,6,2,127,6,0,0,125
49C,0,3,0,0,0,0,1,3
49C,0,0,1,126,1,0,0,126
49C,0,0,0,3,3,0,0,1
49C,0,126,7,3,0,7,0,3
49C,0,126,7,3,3,7,0,3
49C,0,0,0,0,0,0,0,3
49C,0,0,0,2,1,7,0,0
49C,0,5,3,1,1,7,0,124
49C,0,6,2,1,3,0,0,3
49C,0,6,2,1,0,1,0,6
49C,0,7,1,1,1,0,0,1
49C,0,6,14,1,31,3,0,13
49C,0,6,14,0,0,0,0,0
49C,0,0,0,0,0,0,0,15
49C,0,7,1,1,0,0,0,15
49C,0,10,22,1,31,30,0,7
49C,0,4,28,123,1,31,7,28
49C,0,0,0,4,1,0,0,2
49C,0,0,0,0,0,0,0,0
49C,0,0,0,3,0,0,0,0
49C,0,0,0,3,0,0,0,0
49C,0,0,0,0,0,0,0,3
49C,0,0,0,3,0,0,0,3
49C,0,0,0,3,31,0,0,0
49C,0,0,0,0,0,0,0,0
49C,0,0,1,1,0,0,0,0
49C,0,0,1,0,0,0,0,1
49C,0,13,7,127,0,0,0,30
49C,0,1,3,0,0,0,0,2
49C,0,3,1,0,0,1,0,7
49C,0,0,0,0,0,0,0,1
49C,0,0,0,0,0,0,0,1
49C,0,1,15,0,0,0,0,2
49C,0,117,113,3,29,7,0,124
49C,0,5,1,2,48,14,0,18
49C,0,8,8,5,2,14,1,1
49C,0,4,3,8,0,3,0,14
49C,0,14,5,26,4,1,0,14
49C,0,2,14,5,2,1,0,4
49C,0,7,1,28,1,3,0,60
49C,0,1,3,1,15,1,0,5
49C,0,22,18,9,0,13,0,8
49C,0,17,19,0,15,13,3,5
49C,0,104,107,24,63,43,3,89
49C,0,51,46,19,9,23,27,33
49C,0,31,5,8,1,0,20,24
49C,0,3,1,0,31,1,4,14
49C,0,1,3,0,0,3,15,1
49C,0,7,1,0,1,0,4,3
49C,0,0,0,0,1,0,3,0
49C,0,0,0,13,0,3,0,0
49C,0,16,27,3,0,18,0,0
49C,0,49,52,11,2,48,0,25
